game_id,game_name,status,ticket_price,overall_odds,top_prize_amount,top_prizes_remaining,top_prizes_total,top_prize_percent_remaining,est_tickets_remaining,est_tickets_total,percent_sold,expected_value,last_updated
1555,500X THE CASH,ACTIVE,50,4.23,"$25,000,000.00",1,2,50.0,6591499,43813240,84.96,44.33,2026-09-18 03:10:14
1590,$25MM GOLD RUSH MULTIPLIER,ACTIVE,50,4.09,"$25,000,000.00",1,2,50.0,11697261,33252089,64.82,41.28,2026-09-18 03:10:13
1627,500X THE CASH,ACTIVE,50,4.05,"$25,000,000.00",1,2,50.0,16649343,27942671,40.42,40.29,2026-09-18 03:10:14
1604,"$500,000 CASH BLOWOUT!",ACTIVE,50,4.08,"$500,000.00",47,100,47.0,11769082,26504076,55.6,39.39,2026-09-18 03:10:12
1642,"$500,000 CASH BLITZ",ACTIVE,50,4.08,"$500,000.00",56,60,93.33,17516652,19312394,9.3,39.29,2026-09-18 03:10:12
5048,FLORIDA 300X THE CASH,ACTIVE,30,2.93,"$15,000,000.00",1,4,25.0,2718249,46798039,94.19,27.96,2026-09-18 03:10:13
1608,$15MM DIAMOND SPECTACULAR,ACTIVE,30,2.61,"$15,000,000.00",0,2,0.0,7314287,19432792,62.36,22.5,2026-09-18 03:10:12
1634,MEGA 7’s,ACTIVE,20,3.33,"$5,000,000.00",3,4,75.0,10134818,17897042,43.37,16.02,2026-09-18 03:10:13
1640,MEGA BUCKS,ACTIVE,20,2.98,"$5,000,000.00",3,4,75.0,10641526,15226447,30.11,15.82,2026-09-18 03:10:12
7028,THE PERFECT GIFT,ACTIVE,20,2.79,"$5,000,000.00",2,4,50.0,6083333,12237077,50.29,15.8,2026-09-18 03:10:13
1594,"$5,000,000 CA$H MONEY",ACTIVE,20,2.93,"$5,000,000.00",1,4,25.0,5440193,22440864,75.76,15.5,2026-09-18 03:10:12
1613,"$1,000,000 HOLIDAY CA$H",ACTIVE,20,2.68,"$1,000,000.00",1,4,25.0,2009343,8524080,76.43,15.25,2026-09-18 03:10:13
1562,GOLD RUSH LEGACY,ACTIVE,20,2.97,"$10,000,000.00",0,4,0.0,5585290,60071906,90.7,14.92,2026-09-18 03:10:13
1623,200X THE CASH,ACTIVE,20,2.96,"$5,000,000.00",0,4,0.0,3261133,21097906,84.54,14.68,2026-09-18 03:10:14
1539,$5M CROSSWORD CASH,ACTIVE,20,2.9,"$5,000,000",0,6,0.0,2912920,24126425,87.93,13.56,2026-09-18 03:10:12
1569,$20 MONOPOLY&trade; SECRET VAULT,ACTIVE,20,2.95,"$5,000,000.00",0,4,0.0,711738,22293002,96.81,13.4,2026-09-18 03:10:13
1543,$5MM TRIPLE MATCH,ACTIVE,20,2.85,"$5,000,000.00",0,8,0.0,1980086,30165603,93.44,13.14,2026-09-18 03:10:13
1602,"$10,000 A WEEK FOR LIFE",ACTIVE,20,2.96,"$10,000/WK/LIFE",1,4,25.0,3932970,15391583,74.45,13.07,2026-09-18 03:10:14
1597,SCORCHING HOT 7s,ACTIVE,10,3.39,"$2,000,000.00",1,4,25.0,524697,16218174,96.76,10.4,2026-09-18 03:10:13
1586,$2MM GOLD RUSH MULTIPLIER,ACTIVE,10,3.41,"$2,000,000.00",1,5,20.0,996576,30218506,96.7,8.97,2026-09-18 03:10:13
1554,100X THE CASH,ACTIVE,10,3.49,"$2,000,000.00",1,10,10.0,1802473,33099868,94.55,7.95,2026-09-18 03:10:14
5063,CA$H IN HAND,ACTIVE,10,3.47,"$2,000,000.00",3,4,75.0,11306114,14332741,21.12,7.65,2026-09-18 03:10:12
1639,JUMBO BUCKS,ACTIVE,10,3.5,"$2,000,000.00",3,4,75.0,16051220,21865704,26.59,7.65,2026-09-18 03:10:12
1622,100X THE CASH,ACTIVE,10,3.4,"$2,000,000.00",3,7,42.86,20866745,41661676,49.91,7.59,2026-09-18 03:10:14
1630,"$2,000,000 FORTUNE",ACTIVE,10,3.44,"$2,000,000",1,4,25.0,4439836,16274908,72.72,7.59,2026-09-18 03:10:12
1607,"$50, $100 & $500 BLOWOUT",ACTIVE,10,8.89,$500.00,6513,33725,19.31,6222031,32358347,80.77,7.5,2026-09-18 03:10:12
1618,DOUBLE DIAMOND CASHWORD,ACTIVE,10,3.24,"$2,000,000.00",2,4,50.0,10303074,24269573,57.55,7.37,2026-09-18 03:10:12
1612,"$500,000 HOLIDAY CA$H",ACTIVE,10,3.46,"$500,000.00",1,4,25.0,1231680,10711779,88.5,7.17,2026-09-18 03:10:13
1568,$10 MONOPOLY&trade; SECRET VAULT,ACTIVE,10,3.41,"$2,000,000.00",0,4,0.0,3087117,24285232,87.29,7.07,2026-09-18 03:10:13
1601,"$5,000 A WEEK FOR LIFE",ACTIVE,10,3.3,"$5,000 WK/LIFE",1,4,25.0,5322629,21870816,75.66,6.68,2026-09-18 03:10:14
1582,ULTIMATE VIP CASHWORD,ACTIVE,10,3.37,"$2,000,000.00",0,8,0.0,1586751,25341281,93.74,6.12,2026-09-18 03:10:14
1606,BREAK THE BANK,ACTIVE,5,3.94,"$1,000,000.00",1,4,25.0,753966,14275865,94.72,4.07,2026-09-18 03:10:12
1596,GUY HARVEY $1M FLORIDA BIG BILLS,ACTIVE,5,3.99,"$1,000,000.00",1,3,33.33,1145956,14243291,91.95,3.89,2026-09-18 03:10:13
1553,50X THE CASH,ACTIVE,5,3.96,"$1,000,000.00",4,14,28.57,4315458,42299469,89.8,3.89,2026-09-18 03:10:14
1518,THE PRICE IS RIGHT,ACTIVE,5,4.0,"$1,000,000.00",4,8,50.0,9239904,22898608,59.65,3.73,2026-09-18 03:10:13
1635,AMERICA 250 FLORIDA,ACTIVE,5,4.01,"$1,000,000.00",3,4,75.0,9571136,16169667,40.81,3.66,2026-09-18 03:10:12
5059,THE CASH WHEEL,ACTIVE,5,4.05,"$1,000,000.00",2,6,33.33,5767771,17767731,67.54,3.65,2026-09-18 03:10:13
5056,JEOPARDY,ACTIVE,5,3.86,"$1,000,000.00",4,10,40.0,7622794,19098053,60.09,3.62,2026-09-18 03:10:13
1621,50X THE CASH,ACTIVE,5,3.81,"$1,000,000.00",7,12,58.33,37549882,62659210,40.07,3.57,2026-09-18 03:10:14
1638,GIANT BUCKS,ACTIVE,5,3.75,"$1,000,000.00",3,4,75.0,23033010,30889466,25.43,3.56,2026-09-18 03:10:12
1641,POWER 20X,ACTIVE,5,3.91,"$1,000,000.00",2,4,50.0,8208267,13592579,39.61,3.56,2026-09-18 03:10:13
1527,$5 GOLD RUSH DOUBLER,ACTIVE,5,3.98,"$1,000,000.00",5,28,17.86,10200067,56328737,81.89,3.55,2026-09-18 03:10:13
5055,EMERALD MINE 9X,ACTIVE,5,4.0,"$500,000.00",1,10,10.0,1650728,22645724,92.71,3.55,2026-09-18 03:10:12
1626,BONUS BLOWOUT,ACTIVE,5,9.78,$500.00,924,6116,15.11,2824992,18365833,84.62,3.52,2026-09-18 03:10:12
1633,"$1,000,000 CASH STACKS",ACTIVE,5,3.95,"$1,000,000.00",1,4,25.0,5150042,14205108,63.75,3.48,2026-09-18 03:10:12
1628,SILVER & GOLD CROSSWORD,ACTIVE,5,3.89,"$500,000.00",2,4,50.0,6485976,14061276,53.87,3.44,2026-09-18 03:10:13
1593,MONEY MATCH,ACTIVE,5,3.85,"$1,000,000.00",1,4,25.0,2714358,16316781,83.36,3.41,2026-09-18 03:10:12
1611,"$250,000 HOLIDAY CA$H",ACTIVE,5,3.67,"$250,000.00",2,4,50.0,810164,12602072,93.57,3.38,2026-09-18 03:10:13
1581,PLATINUM MINE 9X,ACTIVE,5,3.93,"$1,000,000.00",0,4,0.0,4149738,19421581,78.63,3.36,2026-09-18 03:10:13
1524,LUCKY NUMBERS,ACTIVE,5,3.98,"$500,000.00",2,16,12.5,2341338,22381940,89.54,3.35,2026-09-18 03:10:13
1557,BONUS LETTER CROSSWORD,ACTIVE,5,4.0,"$1,000,000.00",1,10,10.0,1293748,22435268,94.23,3.16,2026-09-18 03:10:12
1629,PRECIOUS METALS GOLD MULTIPLIE,ACTIVE,5,3.9,"$1,000,000",0,4,0.0,2660299,16203548,83.58,3.13,2026-09-18 03:10:13
1600,"$2,500 A WEEK FOR LIFE",ACTIVE,5,3.96,"$2,500 WK/LIFE",1,4,25.0,5295399,31039775,82.94,3.11,2026-09-18 03:10:14
1567,$5 MONOPOLY&trade; SECRET VAULT,ACTIVE,5,3.95,"$1,000,000.00",0,6,0.0,3682486,38885795,90.53,3.07,2026-09-18 03:10:13
1588,5 TIMES LUCKY,ACTIVE,5,3.9,"$1,000,000.00",0,4,0.0,998685,16399672,93.91,3.01,2026-09-18 03:10:12
5058,MILLIONAIRE MAKER,ACTIVE,5,3.99,"$1,000,000.00",0,6,0.0,1265684,22999361,94.5,2.52,2026-09-18 03:10:13
1617,BONUS BOX BINGO,ACTIVE,3,4.17,"$150,000.00",2,4,50.0,9561877,20141821,52.53,2.08,2026-09-18 03:10:12
1632,GOLD MINE,ACTIVE,3,3.99,"$150,000.00",3,4,75.0,4917755,14167165,65.29,2.07,2026-09-18 03:10:13
1605,"$150,000 CROSSWORD BONUS",ACTIVE,3,3.91,"$150,000.00",2,8,25.0,9906673,23128299,57.17,2.03,2026-09-18 03:10:12
1616,LOTERIA,ACTIVE,3,3.98,"$150,000.00",1,6,16.67,8503867,27034707,68.54,1.98,2026-09-18 03:10:13
1614,WIN IT ALL!,ACTIVE,2,4.41,"$50,000.00",0,6,0.0,2202680,12319053,82.12,1.49,2026-09-18 03:10:14
1497,TRIPLE CROSSWORD,ACTIVE,3,4.092,"$150,000.00",0,30,0.0,3717046,57954538,93.59,1.42,2026-09-18 03:10:13
5027,20X THE CASH,ACTIVE,2,4.69,"$100,000.00",6,20,30.0,26742910,67896248,60.61,1.39,2026-09-18 03:10:14
1637,BIG BUCKS,ACTIVE,2,4.66,"$50,000.00",8,12,66.67,15808626,22368079,29.33,1.37,2026-09-18 03:10:12
1591,ADD IT UP,ACTIVE,2,3.97,"$50,000.00",2,8,25.0,3656418,14183218,74.22,1.36,2026-09-18 03:10:12
1587,QUICK $100S,ACTIVE,2,4.86,"$50,000.00",1,4,25.0,1967615,13869905,85.81,1.36,2026-09-18 03:10:13
5057,EASY MONEY,ACTIVE,2,4.41,"$50,000.00",3,8,37.5,4035781,14957895,73.02,1.33,2026-09-18 03:10:12
1526,$2 GOLD RUSH DOUBLER,ACTIVE,2,4.69,"$100,000.00",8,36,22.22,7940963,50551596,84.29,1.3,2026-09-18 03:10:13
1631,"RED, WHITE & BLUE CASH",ACTIVE,2,4.36,"$50,000.00",1,4,25.0,3426214,10968094,68.76,1.29,2026-09-18 03:10:13
1625,LUCKY CLOVERS,ACTIVE,2,4.2,"$50,000.00",1,4,25.0,2038508,9846089,79.3,1.28,2026-09-18 03:10:13
1566,$2 MONOPOLY&trade; SECRET VAULT,ACTIVE,2,4.38,"$100,000.00",2,8,25.0,3935106,27884521,85.89,1.27,2026-09-18 03:10:13
5060,FIND THE 7S,ACTIVE,2,4.07,"$50,000.00",0,8,0.0,1770218,14233217,87.56,1.25,2026-09-18 03:10:13
1615,HAPPY NEW YEAR 2026,ACTIVE,2,4.36,"$50,000.00",1,6,16.67,2516200,12231474,79.43,1.24,2026-09-18 03:10:13
1552,20X THE CASH,ACTIVE,2,4.68,"$100,000.00",1,14,7.14,5621326,32323749,82.61,1.21,2026-09-18 03:10:14
1620,20X THE CASH,ACTIVE,2,4.57,"$100,000.00",1,10,10.0,3531678,22316617,84.17,1.2,2026-09-18 03:10:14
1599,"$1,000 A WEEK FOR LIFE",ACTIVE,2,4.19,"$1,000 WK/LIFE",1,4,25.0,2596137,22353181,88.39,1.13,2026-09-18 03:10:14
1584,$100K GOLD RUSH MULTIPLIER,ACTIVE,2,4.54,"$100,000.00",0,10,0.0,3170650,27642394,88.53,1.1,2026-09-18 03:10:13
1636,LUCKY BUCKS,ACTIVE,1,4.72,"$10,000.00",17,24,70.83,18742053,24935425,24.84,0.61,2026-09-18 03:10:12
1619,10X THE CASH,ACTIVE,1,4.66,"$10,000.00",34,56,60.71,33682447,52960728,36.4,0.61,2026-09-18 03:10:14
1583,$10K GOLD RUSH MULTIPLIER,ACTIVE,1,4.65,"$10,000.00",22,64,34.38,18484299,55253639,66.55,0.59,2026-09-18 03:10:13
1624,FAST $50’s,ACTIVE,1,4.84,"$5,000.00",2,12,16.67,3213949,11422889,71.86,0.58,2026-09-18 03:10:12
1575,"$5,000 HOLIDAY BLOWOUT",ACTIVE,1,4.91,"$5,000.00",3,16,18.75,5689163,19377659,70.64,0.57,2026-09-18 03:10:13
1609,"$10,000 HOLIDAY CA$H",ACTIVE,1,4.83,"$10,000.00",1,4,25.0,2947783,13136296,77.56,0.54,2026-09-18 03:10:13
1598,$500 A WEEK FOR LIFE,ACTIVE,1,4.83,$500 WK/LIFE,1,4,25.0,3715767,19422285,80.87,0.5,2026-09-18 03:10:14
1589,"$25, $50, OR $100",ENDED / RETIRED,5,0.0,$100,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
5031,$500 Cash Bonanza,ENDED / RETIRED,10,0.0,$500,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1550,"$2,000,000 100X Cashword",ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1579,2025,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
